prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size(sq.ft.),furnished,region,near_KTM-LRT,minimart availability,security availability
The Andes Condo Villa @ Bukit Jalil,2000,Bukit Jalil,Condominium,3,2,3,1325,1,Kuala Lumpur,0,0,1
Residensi Rabung KL Timur,3500,KL City,Condominium,2,2,2,865,2,Kuala Lumpur,1,1,1
Platinum Teratai Residence,1700,Setapak,Apartment,3,2,2,928,1,Kuala Lumpur,1,1,1
Aman Dua,1000,Kepong,Apartment,3,1,2,850,1,Kuala Lumpur,0,1,1
Residensi Seri Wahyu @ Jalan Kuching KL,1200,KL City,Apartment,3,1,2,805,1,Kuala Lumpur,0,1,1
Royal Domain Sri Putramas 2,1800,Jalan Kuching,Service Residence,3,1,2,1300,1,Kuala Lumpur,0,1,1
Vista Angkasa,1900,Bangsar South,Apartment,3,1,2,1200,1,Kuala Lumpur,1,1,1
Arte Plus Jalan Ampang,1600,Ampang,Service Residence,2,1,2,589,2,Kuala Lumpur,0,0,1
Arte Plus Jalan Ampang,2500,Ampang,Service Residence,4,1,2,890,2,Kuala Lumpur,0,0,0
First Residence,1500,Kepong,Condominium,3,1,2,1000,1,Kuala Lumpur,0,0,1
Residensi KepongMas,1100,Kepong,Apartment,3,1,2,800,1,Kuala Lumpur,1,1,1
Residensi KepongMas,1100,Kepong,Apartment,3,1,2,800,1,Kuala Lumpur,1,1,1
Vista Mutiara,1200,Kepong,Condominium,3,1,2,1001,1,Kuala Lumpur,0,1,1
Residensi KepongMas,1400,Kepong,Apartment,3,1,2,800,1,Kuala Lumpur,1,1,1
Centrio SOHO @ Pantai Hillpark,2350,Pantai,Other,1,1,2,870,2,Kuala Lumpur,1,1,1
The Elements,1600,Ampang,Service Residence,1,1,1,520,2,Kuala Lumpur,1,0,1
Kenanga Point,1800,Pudu,Condominium,3,1,2,864,2,Kuala Lumpur,1,0,1
The Haute,2000,Keramat,Condominium,3,3,2,1050,1,Kuala Lumpur,1,0,1
The Haute,2250,Keramat,Condominium,3,2,2,1050,2,Kuala Lumpur,1,0,1
Nidoz Residences,3500,Desa Petaling,Condominium,3,2,2,1400,2,Kuala Lumpur,1,1,1
PV18 Residence,1600,Setapak,Service Residence,3,1,2,926,1,Kuala Lumpur,0,1,1
Endah Regal,1500,Sri Petaling,Condominium,3,1,2,1141,2,Kuala Lumpur,1,0,1
Icon Residence (Mont Kiara),3000,Solaris Dutamas,Condominium,3,1,2,1474,2,Kuala Lumpur,1,0,1
Changkat View Condominium,1800,Solaris Dutamas,Condominium,3,1,2,1000,2,Kuala Lumpur,0,1,1
Bukit OUG Condominium,1500,Bukit Jalil,Condominium,3,1,2,1222,2,Kuala Lumpur,1,1,1
Vista Komanwel A,1600,Bukit Jalil,Condominium,3,1,2,1206,2,Kuala Lumpur,1,1,1
Sentul Point Suite Apartment,1900,Sentul,Service Residence,2,1,2,743,2,Kuala Lumpur,1,1,1
Maxim Citilights,1700,Sentul,Service Residence,3,2,2,1009,1,Kuala Lumpur,0,1,1
8 Kinrara,2700,Puchong,Service Residence,3,2,2,1096,2,Kuala Lumpur,1,0,1
Bukit OUG Condominium,1500,Bukit Jalil,Condominium,4,1,2,1465,2,Kuala Lumpur,1,1,1
Bukit OUG Condominium,1150,Bukit Jalil,Condominium,2,1,1,750,1,Kuala Lumpur,1,1,1
PV9 Residences @ Taman Melati,2200,Setapak,Condominium,3,2,2,1000,1,Kuala Lumpur,1,1,1
PV9 Residences @ Taman Melati,2800,Setapak,Condominium,4,3,2,1100,1,Kuala Lumpur,1,1,1
PV9 Residences @ Taman Melati,2100,Setapak,Condominium,3,2,2,1000,1,Kuala Lumpur,1,1,1
Residensi Alam Damai (PR1MA @ Alam Damai),1300,Cheras,Apartment,3,2,2,1000,1,Kuala Lumpur,1,0,1
Casa Green (Bukit Jalil),2000,Bukit Jalil,Condominium,4,1,2,1000,2,Kuala Lumpur,1,1,1
Platinum OUG Residence,1800,Kuchai Lama,Condominium,3,1,2,1200,2,Kuala Lumpur,0,0,1
Southbank Residence,1800,Old Klang Road,Service Residence,3,1,2,953,1,Kuala Lumpur,0,0,1
Platinum OUG Residence,1800,Kuchai Lama,Condominium,3,1,2,1200,2,Kuala Lumpur,0,1,1
Vivo Residential @ 9 Seputeh,1500,Seputeh,Other,1,1,1,505,2,Kuala Lumpur,0,1,1
The Reach @ Titiwangsa,2500,Setapak,Condominium,3,2,3,1433,1,Kuala Lumpur,1,1,1
One Residences,3300,Sungai Besi,Service Residence,3,1,4,1250,2,Kuala Lumpur,1,1,1
Skyville @ Benteng 8,2600,Old Klang Road,Service Residence,2,1,3,1108,2,Kuala Lumpur,1,1,1
Heritage Condominiun,1200,Setapak,Condominium,3,1,2,1300,1,Kuala Lumpur,0,1,0
Sri Impian (Brickfields),3200,Brickfields,Condominium,3,1,2,1500,2,Kuala Lumpur,1,1,1
Majestic Maxim,600,Cheras,Condominium,3,2,2,850,2,Kuala Lumpur,0,0,1
Residensi Seri Wahyu @ Jalan Kuching KL,1300,KL City,Apartment,3,1,2,805,1,Kuala Lumpur,1,0,1
